Query 2c: /home/victor/Downloads/queriesdata/query_2c_2.txt
[1987155, 1996507]
[1972960, 1996507]
[1948310, 1996507]
[1944146, 1996507]
[1940029, 1996507]
[1907935, 1996507]
[1904636, 1996507]
[1904251, 1996507]
[1901597, 1996507]
[1898817, 1996507]
[1886322, 1996507]
[1881784, 1996507]
[1881424, 1996507]
[1876319, 1996507]
[1866351, 1996507]
[1863921, 1996507]
[1859082, 1996507]
[1853427, 1996507]
[1845820, 1996507]
[1838532, 1996507]
[1836505, 1996507]
[1822708, 1996507]
[1803709, 1996507]
[1789073, 1996507]
[1785480, 1996507]
[1779372, 1996507]
[1778041, 1996507]
[1752961, 1996507]
[1743408, 1996507]
[1737910, 1996507]
[1725773, 1996507]
[1720493, 1996507]
[1716349, 1996507]
[1714826, 1996507]
[1713300, 1996507]
[1697809, 1996507]
[1695070, 1996507]
[1655325, 1996507]
[1632676, 1996507]
[1619427, 1996507]
[1618169, 1996507]
[1617978, 1996507]
[1588971, 1996507]
[1587727, 1996507]
[1575649, 1996507]
[1575468, 1996507]
[1573798, 1996507]
[1567959, 1996507]
[1567299, 1996507]
[1561501, 1996507]
[1557287, 1996507]
[1555923, 1996507]
[1549963, 1996507]
[1549684, 1996507]
[1547056, 1996507]
[1528385, 1996507]
[1511936, 1996507]
[1502579, 1996507]
[1500724, 1996507]
[1479144, 1996507]
[1472250, 1996507]
[1453914, 1996507]
[1449166, 1996507]
[1444309, 1996507]
[1437174, 1996507]
[1437026, 1996507]
[1433687, 1996507]
[1428885, 1996507]
[1428524, 1996507]
[1428007, 1996507]
[1407457, 1996507]
[1403175, 1996507]
[1373001, 1996507]
[1367445, 1996507]
[1364607, 1996507]
[1358008, 1996507]
[1347007, 1996507]
[1345559, 1996507]
[1338599, 1996507]
[1338572, 1996507]
[1338290, 1996507]
[1329638, 1996507]
[1323086, 1996507]
[1320653, 1996507]
[1306000, 1996507]
[1270135, 1996507]
[1265789, 1996507]
[1258746, 1996507]
[1239208, 1996507]
[1237071, 1996507]
[1228094, 1996507]
[1208016, 1996507]
[1207821, 1996507]
[1163158, 1996507]
[1162120, 1996507]
[1143499, 1996507]
[1138993, 1996507]
[1138958, 1996507]
[1106805, 1996507]
[1069374, 1996507]
[1043479, 1996507]
[1014008, 1996507]
[992271, 1996507]
[990987, 1996507]
[950750, 1996507]
[931668, 1996507]
[901103, 1996507]
[889769, 1996507]
[886250, 1996507]
[879731, 1996507]
[874272, 1996507]
[839092, 1996507]
[818626, 1996507]
[778350, 1996507]
[769380, 1996507]
[762521, 1996507]
[743556, 1996507]
[743018, 1996507]
[707665, 1996507]
[694424, 1996507]
[684949, 1996507]
[681263, 1996507]
[680153, 1996507]
[667815, 1996507]
[633673, 1996507]
[627109, 1996507]
[626076, 1996507]
[621300, 1996507]
[605847, 1996507]
[598455, 1996507]
[592933, 1996507]
[591405, 1996507]
[590138, 1996507]
[589538, 1996507]
[573752, 1996507]
[564424, 1996507]
[560623, 1996507]
[555462, 1996507]
[550551, 1996507]
[549350, 1996507]
[534769, 1996507]
[517502, 1996507]
[516552, 1996507]
[505531, 1996507]
[504525, 1996507]
[502133, 1996507]
[486656, 1996507]
[479545, 1996507]
[443189, 1996507]
[437276, 1996507]
[434001, 1996507]
[433129, 1996507]
[420685, 1996507]
[420496, 1996507]
[420496, 1996507]
[418548, 1996507]
[406496, 1996507]
[406244, 1996507]
[399792, 1996507]
[387074, 1996507]
[377376, 1996507]
[362896, 1996507]
[361685, 1996507]
[356643, 1996507]
[350601, 1996507]
[350529, 1996507]
[341496, 1996507]
[453535, 1996507]
[324535, 1996507]
[324516, 1996507]
[308734, 1996507]
[307730, 1996507]
[285517, 1996507]
[273917, 1996507]
[266183, 1996507]
[202616, 1996507]
[191824, 1996507]
[175426, 1996507]
[174711, 1996507]
[154178, 1996507]
[151959, 1996507]
[142045, 1996507]
[140214, 1996507]
[138886, 1996507]
[130396, 1996507]
[120314, 1996507]
[110361, 1996507]
[109069, 1996507]
[105639, 1996507]
[102597, 1996507]
[69723, 1996507]
[66742, 1996507]
[42089, 1996507]
[39239, 1996507]
[34826, 1996507]
[34476, 1996507]
[31695, 1996507]
[27652, 1996507]
[24956, 1996507]
